k,variant,nboot,theta_mean,theta_median,belpl_width_mean,belpl_width_median,shap_boot_width_mean,shap_boot_width_median
1,absolute,200,0.3125404517602523,0.3044691683150359,0.31254045176025225,0.3044691683150359,0.18896043989275438,0.19708242488773772
2,absolute,200,0.3399526697547321,0.32021621119910676,0.41365997897022816,0.40674648738290897,0.0072584102721138894,0.006656303698642684
3,absolute,200,0.34302043468916416,0.34191328964750417,0.5052283780955719,0.47851959892959095,0.0007259615647214653,0.0005483303002158272
4,absolute,200,0.3691844552252996,0.3666996572369868,0.6178856630969416,0.5921207202999744,9.298785508272642e-06,0.0
1,entropy,200,0.34011885531136876,0.3310720673714632,0.3401188553113687,0.3310720673714632,0.2995207331487813,0.31985635811016505
2,entropy,200,0.3802085770652293,0.3666681735265094,0.4494141068116536,0.44090668422071067,0.034831121606561176,0.03335410741496321
3,entropy,200,0.3853477790904761,0.3783971356797735,0.5371019387072262,0.5109799695973484,0.005058928910600115,0.004116064157896634
4,entropy,200,0.3913268597334779,0.37305743689785303,0.6313321581328336,0.6050297815295065,8.671225836034618e-05,0.0
1,normalized,200,0.3120290401432799,0.30410453171724755,0.3120290401432799,0.30410453171724755,0.402689525453793,0.396619662362574
2,normalized,200,0.341407309481787,0.3242090682188563,0.4149515965022404,0.40697437127655733,0.0121231670435586,0.010771970171350231
3,normalized,200,0.34618885799043553,0.34413478475960707,0.5076194174489765,0.48344058871241136,0.0007730738995352232,0.0006190209684168505
4,normalized,200,0.3698393892666418,0.36294478785326134,0.6182895596741991,0.5928485406752055,2.501946406710869e-06,0.0
1,signed,200,0.31171786812314134,0.30895209202724194,0.31171786812314134,0.30895209202724194,0.24566830819295965,0.23556931500971157
2,signed,200,0.34048611666524137,0.32139784215402434,0.41413404696213274,0.4066323407164071,0.00745245317243431,0.006673907628037501
3,signed,200,0.34392385876587367,0.34343793658343813,0.5059082593594127,0.4792192618038458,0.0005065189386030723,0.00039795448806166384
4,signed,200,0.3696597421292453,0.3649183949410747,0.61817692088515,0.5923466622531854,1.5498319889807834e-06,0.0
1,squared,200,0.2789659445667456,0.27391766796308353,0.2789659445667456,0.27391766796308353,0.04138593636915605,0.03885056853692562
2,squared,200,0.26679696531196456,0.2589761441241011,0.34866294467101255,0.31811447548086347,7.14393884291871e-05,4.4446937404739384e-05
3,squared,200,0.2487928821299209,0.24474279877160215,0.4342821641916791,0.39018444817824827,8.853073495392122e-07,3.030966465954334e-07
4,squared,200,0.2732532168425505,0.29328673139885975,0.5597505257012908,0.5273029868356423,1.3103967986836438e-09,0.0
