k,variant,n_hypotheses,theta_mean,mean_bel_pl_width
1,absolute,32,0.3111163087357919,0.3111163087357919
2,absolute,528,0.3417565107344376,0.4152618511329492
3,absolute,5488,0.34248829579917056,0.5048297057705198
4,absolute,41448,0.3694144716886585,0.6180233538626753
