k,variant,n_hypotheses,theta_mean,mean_bel_pl_width
1,absolute,15,0.26528740855838523,0.26528740855838523
2,absolute,120,0.30709063732841685,0.46825108544896293
3,absolute,575,0.31406005923416697,0.6377589669721312
4,absolute,1940,0.3261080011639226,0.8043327260090385
