k,variant,n_hypotheses,theta_mean,mean_bel_pl_width
1,absolute,9,0.5814094252448507,0.5814094252448507
2,absolute,45,0.5865606305436375,0.7272728243534601
3,absolute,129,0.5593349153230204,0.8379834024884528
4,absolute,255,0.5232647448953514,0.9076580979122281
